pid,writer,label,_date,order,layout,collection,thumbnail,manifest,full
obj1,Aaron W,Hatred,May 29 2020,00,work,works,"/img/derivatives/iiif/images/obj1_0/full/250,/0/default.jpg",/img/derivatives/iiif/obj1/manifest.json,""
obj10,Ezra B,First Poems,July 7 2020,01,work,works,"/img/derivatives/iiif/images/obj10_Ezra_1979_First_Poems/full/250,/0/default.jpg",/img/derivatives/iiif/obj10/manifest.json,""
obj11,Marvin S,All of Us!,May 29 2020,02,work,works,"/img/derivatives/iiif/images/obj11_0/full/250,/0/default.jpg",/img/derivatives/iiif/obj11/manifest.json,""
obj12,Myke L,Bloated Belly,May 27 2020,03,work,works,"/img/derivatives/iiif/images/obj12/full/250,/0/default.jpg",/img/derivatives/iiif/obj12/manifest.json,""
obj13,Myke L,Blood Thicker Than Water,June 2 2020,04,work,works,"/img/derivatives/iiif/images/obj13/full/250,/0/default.jpg",/img/derivatives/iiif/obj13/manifest.json,""
obj14,Myke L,Killadelphia,July 1 2020,05,work,works,"/img/derivatives/iiif/images/obj14_Myke_Killadelphia_0/full/250,/0/default.jpg",/img/derivatives/iiif/obj14/manifest.json,""
obj15,Myke L,Breathe,July 23 2020,06,work,works,"/img/derivatives/iiif/images/obj15/full/250,/0/default.jpg",/img/derivatives/iiif/obj15/manifest.json,""
obj16,Myke L,Morning Glory, July 23 2020,07,work,works,"/img/derivatives/iiif/images/obj16_Myke_L_Morning_Glory_Jul_18/full/250,/0/default.jpg",/img/derivatives/iiif/obj16/manifest.json,""
obj17,Myke L,Semblance,July 23 2020,08,work,works,"/img/derivatives/iiif/images/obj17_Myke_L_Semblance_Jul_18_3/full/250,/0/default.jpg",/img/derivatives/iiif/obj17/manifest.json,""
obj18,Myke L,Out of the Sea,May 29 2020,09,work,works,"/img/derivatives/iiif/images/obj18/full/250,/0/default.jpg",/img/derivatives/iiif/obj18/manifest.json,""
obj19,Myke L,Voice of the Night,May 26 2020,10,work,works,"/img/derivatives/iiif/images/obj19_Myke_Voice_of_the_Night_pg_1/full/250,/0/default.jpg",/img/derivatives/iiif/obj19/manifest.json,""
obj2,Aaron W,How Many Pieces,April 29 2020,11,work,works,"/img/derivatives/iiif/images/obj2_0/full/250,/0/default.jpg",/img/derivatives/iiif/obj2/manifest.json,""
